Age,Gender,Marital Status,Employment,Income (₹),FD Amount (₹),FD Tenure (yrs),Credit Score,Base Rate (%),BPS Adjustment (%),Base Rate Type
61,Male,Married,Retired,575731,622282,7,646,6.75,0.77,Floating
25,Male,Married,Salaried,796085,235172,4,351,6.75,0.66,Fixed
64,Female,Single,Retired,1226162,508548,6,894,6.75,1.33,Fixed
52,Male,Married,Salaried,2241788,138408,9,754,6.75,0.49,Fixed
53,Female,Married,Salaried,1558856,1071581,5,805,6.75,0.03,Floating
67,Male,Married,Retired,245779,702294,4,887,6.75,1.3,Fixed
21,Female,Married,Salaried,781893,365185,3,665,6.75,0.88,Fixed
19,Female,Married,Salaried,952733,952303,7,413,6.75,0.03,Floating
23,Female,Married,Salaried,1251227,232420,7,869,6.75,0.12,Floating
71,Male,Married,Retired,593760,331668,7,752,6.75,0.59,Floating
21,Female,Single,Salaried,1292265,652256,5,754,6.75,0.22,Floating
71,Female,Married,Retired,743477,779408,8,795,6.75,1.0,Floating
80,Female,Single,Retired,1291467,328270,2,645,6.75,0.53,Floating
35,Male,Married,Salaried,1037896,637623,4,899,6.75,0.17,Fixed
61,Female,Married,Retired,2022716,1201928,1,488,6.75,0.9099999999999999,Floating
51,Male,Married,Salaried,1489410,492476,6,859,6.75,0.63,Floating
79,Male,Single,Retired,1656943,337213,6,873,6.75,1.4100000000000001,Floating
31,Female,Married,Salaried,471169,752709,3,507,6.75,0.83,Floating
65,Male,Single,Retired,733952,104506,1,783,6.75,0.55,Fixed
32,Male,Married,Salaried,1163587,541735,5,368,6.75,0.97,Floating
89,Male,Married,Retired,383302,294943,1,368,6.75,0.77,Floating
79,Female,Married,Retired,1522691,463474,3,351,6.75,0.86,Floating
57,Male,Married,Salaried,1065238,291804,8,857,6.75,0.07,Fixed
70,Male,Married,Retired,1549964,137963,9,444,6.75,1.44,Fixed
41,Male,Single,Salaried,1241161,306369,3,788,6.75,0.55,Floating
43,Female,Single,Salaried,1022431,333582,9,896,6.75,0.52,Fixed
77,Male,Single,Retired,938660,430563,7,329,6.75,0.52,Floating
58,Female,Single,Salaried,615572,496441,8,734,6.75,0.0,Fixed
46,Male,Single,Self-Employed,585818,688086,6,844,6.75,0.68,Floating
32,Female,Single,Salaried,1444332,944575,5,661,6.75,0.48,Floating
62,Female,Married,Retired,1334009,520326,8,548,6.75,1.01,Floating
82,Male,Married,Retired,1617035,186823,2,336,6.75,1.15,Floating
88,Male,Married,Retired,727162,732709,7,314,6.75,0.65,Fixed
26,Female,Married,Salaried,1561294,579503,1,744,6.75,1.0,Fixed
18,Male,Single,Salaried,911711,200751,7,392,6.75,0.08,Floating
25,Male,Married,Salaried,1289967,522653,6,536,6.75,0.27,Floating
80,Female,Married,Retired,1645766,702800,4,875,6.75,1.19,Floating
28,Female,Married,Salaried,2035519,492800,3,363,6.75,0.52,Floating
25,Male,Married,Salaried,1536210,330700,9,603,6.75,0.1,Floating
52,Male,Married,Salaried,1101408,522725,6,525,6.75,0.77,Fixed
52,Male,Married,Salaried,1280478,412771,6,602,6.75,0.97,Floating
50,Male,Married,Salaried,1624503,35754,1,491,6.75,0.47,Fixed
22,Female,Married,Salaried,1354950,1203499,5,622,6.75,0.25,Fixed
58,Female,Married,Salaried,800374,319256,7,572,6.75,0.11,Floating
45,Female,Married,Self-Employed,1307394,289841,4,734,6.75,0.21,Fixed
24,Male,Married,Salaried,1651821,386710,2,726,6.75,0.31,Floating
89,Male,Married,Retired,1906214,466453,9,425,6.75,0.69,Fixed
29,Male,Married,Salaried,1031068,593177,6,503,6.75,0.68,Fixed
51,Male,Single,Salaried,441620,176014,9,783,6.75,0.02,Fixed
50,Female,Married,Self-Employed,110162,873930,8,838,6.75,0.41,Floating
65,Male,Single,Retired,1397818,69840,1,389,6.75,0.87,Fixed
40,Female,Single,Salaried,233284,362973,2,858,6.75,0.88,Fixed
79,Female,Single,Retired,1160020,726055,2,339,6.75,0.77,Fixed
54,Female,Married,Salaried,1538838,707526,2,880,6.75,0.58,Fixed
61,Female,Married,Retired,918410,339120,4,459,6.75,0.5,Floating
52,Female,Married,Salaried,252028,478417,7,399,6.75,0.92,Floating
82,Male,Married,Retired,370029,513006,7,807,6.75,1.1400000000000001,Floating
64,Male,Single,Retired,540091,567268,1,600,6.75,1.29,Floating
20,Male,Married,Salaried,937971,315790,8,543,6.75,0.57,Floating
18,Male,Single,Salaried,1602073,420962,4,635,6.75,0.82,Fixed
22,Female,Single,Salaried,1005878,652240,8,805,6.75,0.08,Floating
31,Female,Married,Salaried,2076648,1442356,9,679,6.75,0.71,Floating
44,Male,Married,Self-Employed,1520439,66531,7,848,6.75,0.15,Floating
26,Male,Married,Salaried,1147740,636982,3,442,6.75,0.58,Floating
32,Male,Married,Salaried,964221,602574,3,630,6.75,0.99,Floating
59,Female,Married,Salaried,751166,751183,5,799,6.75,0.18,Floating
68,Female,Single,Retired,1074646,238259,7,564,6.75,0.76,Floating
80,Female,Married,Retired,1271178,630770,7,381,6.75,0.71,Floating
69,Male,Married,Retired,1160606,62595,9,436,6.75,0.9099999999999999,Fixed
21,Male,Married,Salaried,750695,387557,1,340,6.75,0.49,Fixed
40,Female,Married,Salaried,484038,401803,3,335,6.75,0.16,Floating
32,Female,Married,Salaried,1931282,523562,1,876,6.75,0.03,Fixed
60,Male,Married,Retired,1317123,717311,6,332,6.75,0.8400000000000001,Fixed
46,Female,Married,Salaried,1177751,171426,7,876,6.75,0.38,Fixed
53,Male,Married,Salaried,1253193,860187,2,737,6.75,0.38,Floating
30,Female,Married,Salaried,1550681,204581,9,422,6.75,0.66,Floating
49,Female,Married,Self-Employed,766066,6581,5,682,6.75,0.45,Floating
88,Female,Single,Retired,935174,782194,3,630,6.75,0.61,Floating
76,Male,Married,Retired,623749,531172,7,475,6.75,1.4300000000000002,Floating
45,Male,Married,Self-Employed,996405,1012003,7,752,6.75,0.7,Floating
83,Female,Married,Retired,662028,729790,1,373,6.75,0.71,Floating
59,Female,Married,Salaried,496813,503708,6,455,6.75,0.94,Fixed
62,Male,Single,Retired,190157,352360,3,827,6.75,1.49,Fixed
79,Female,Single,Retired,1829018,311776,7,325,6.75,0.7,Floating
74,Male,Married,Retired,832728,610143,5,353,6.75,0.88,Floating
23,Female,Single,Salaried,1243377,325514,4,505,6.75,0.07,Fixed
45,Female,Single,Salaried,1048179,574844,7,492,6.75,0.48,Floating
45,Male,Married,Salaried,1248613,297264,7,328,6.75,0.79,Fixed
61,Male,Single,Retired,1754,560752,8,567,6.75,1.4,Floating
47,Male,Married,Salaried,765056,961853,5,368,6.75,0.55,Floating
79,Male,Married,Retired,1579770,666349,4,331,6.75,0.8300000000000001,Fixed
79,Male,Single,Retired,1971533,359431,1,565,6.75,1.0699999999999998,Fixed
18,Female,Married,Salaried,817742,605226,4,432,6.75,0.12,Floating
44,Female,Single,Self-Employed,875370,582955,1,582,6.75,0.84,Fixed
79,Male,Married,Retired,1533207,562014,7,466,6.75,1.02,Floating
20,Male,Single,Salaried,1220364,615195,6,315,6.75,0.98,Floating
87,Male,Married,Retired,1014818,772208,7,549,6.75,0.9,Fixed
89,Male,Married,Retired,967724,822430,8,762,6.75,1.15,Floating
44,Male,Married,Self-Employed,714761,500659,6,882,6.75,0.34,Floating
26,Female,Single,Salaried,697274,86606,2,509,6.75,0.15,Floating
79,Female,Married,Retired,1066020,525441,2,798,6.75,1.25,Floating
54,Male,Married,Salaried,1158329,452715,9,894,6.75,0.67,Fixed
68,Female,Married,Retired,1184352,665254,6,508,6.75,1.28,Fixed
61,Female,Married,Retired,657266,136758,6,825,6.75,1.48,Floating
41,Male,Single,Salaried,1666298,650134,1,596,6.75,0.99,Fixed
76,Female,Married,Retired,189359,538299,8,885,6.75,1.4300000000000002,Fixed
49,Female,Married,Self-Employed,1264808,207745,8,772,6.75,0.89,Fixed
69,Male,Married,Retired,730033,122175,4,471,6.75,0.8,Floating
79,Male,Married,Retired,567054,760770,7,571,6.75,0.97,Floating
75,Female,Married,Retired,837586,203263,9,425,6.75,0.55,Floating
69,Female,Single,Retired,204195,56023,1,835,6.75,1.1800000000000002,Fixed
29,Male,Single,Salaried,1177137,330622,5,576,6.75,0.55,Floating
56,Male,Married,Salaried,1807242,851392,8,804,6.75,0.71,Floating
19,Male,Married,Salaried,677861,558591,7,781,6.75,0.68,Floating
20,Female,Single,Salaried,2175432,1266810,4,711,6.75,0.27,Floating
73,Male,Married,Retired,569569,485637,3,734,6.75,0.96,Floating
76,Female,Married,Retired,788381,590464,1,462,6.75,0.61,Floating
19,Male,Married,Salaried,1679905,438748,3,565,6.75,0.08,Fixed
19,Male,Married,Salaried,401437,358749,2,617,6.75,0.46,Floating
71,Male,Married,Retired,886690,307859,5,397,6.75,1.06,Floating
18,Male,Single,Salaried,1859525,408061,1,899,6.75,0.32,Fixed
36,Male,Married,Salaried,410538,1224027,4,419,6.75,0.06,Fixed
19,Male,Single,Salaried,1295276,671120,8,861,6.75,0.66,Fixed
70,Male,Married,Retired,1255293,242675,9,340,6.75,1.1800000000000002,Floating
61,Male,Married,Retired,38631,100848,1,346,6.75,0.8200000000000001,Floating
49,Male,Married,Self-Employed,692216,472934,3,788,6.75,0.0,Fixed
87,Male,Single,Retired,2190745,25578,6,815,6.75,1.1400000000000001,Floating
49,Female,Married,Self-Employed,1111897,771840,5,812,6.75,0.07,Floating
85,Female,Married,Retired,1191917,265858,1,566,6.75,0.72,Floating
72,Female,Single,Retired,1118967,406386,2,411,6.75,0.75,Floating
73,Male,Single,Retired,2021400,80012,2,310,6.75,0.76,Floating
34,Male,Single,Salaried,513111,634369,7,313,6.75,0.62,Fixed
55,Male,Married,Salaried,660770,272601,6,780,6.75,0.08,Floating
41,Male,Single,Self-Employed,944622,711386,6,642,6.75,0.65,Floating
86,Female,Married,Retired,1277866,149156,1,372,6.75,0.98,Floating
87,Male,Single,Retired,1076854,838880,1,360,6.75,0.85,Fixed
28,Male,Single,Salaried,1090995,605333,4,579,6.75,0.6,Floating
33,Male,Single,Salaried,723906,489571,6,326,6.75,0.87,Floating
76,Female,Single,Retired,1303555,247287,6,590,6.75,1.04,Fixed
87,Female,Married,Retired,53861,407080,5,321,6.75,0.66,Floating
20,Male,Single,Salaried,726221,715138,4,822,6.75,0.56,Fixed
37,Male,Married,Salaried,589409,249338,2,754,6.75,0.45,Floating
76,Female,Single,Retired,449381,466487,7,485,6.75,1.44,Fixed
53,Female,Single,Salaried,109666,409804,6,784,6.75,0.59,Fixed
36,Male,Married,Salaried,1116258,554483,7,375,6.75,0.04,Floating
84,Male,Married,Retired,1214797,81773,3,431,6.75,0.62,Floating
36,Female,Single,Salaried,1218362,935596,1,792,6.75,0.53,Floating
37,Female,Married,Self-Employed,1470650,780967,1,493,6.75,0.8,Floating
88,Male,Married,Retired,1557740,31812,4,666,6.75,0.6,Floating
69,Male,Married,Retired,19646,89281,4,620,6.75,1.0699999999999998,Fixed
50,Female,Married,Salaried,1315465,921761,7,445,6.75,0.45,Floating
57,Female,Married,Salaried,1091246,519921,7,653,6.75,0.36,Fixed
56,Female,Married,Salaried,1085679,40567,4,798,6.75,0.08,Floating
18,Female,Married,Salaried,938068,351663,7,664,6.75,0.88,Fixed
28,Male,Single,Salaried,724803,413057,8,595,6.75,0.76,Floating
74,Female,Married,Retired,1263940,691719,9,467,6.75,1.42,Floating
67,Male,Married,Retired,509806,783492,6,478,6.75,0.67,Floating
40,Female,Married,Salaried,1551427,537623,4,532,6.75,0.57,Floating
48,Male,Married,Salaried,751168,448253,2,692,6.75,0.02,Floating
59,Female,Married,Salaried,20647,357651,9,556,6.75,0.18,Fixed
24,Male,Single,Salaried,1056304,922362,7,631,6.75,0.79,Floating
33,Male,Married,Salaried,411296,373306,6,437,6.75,0.29,Fixed
77,Male,Married,Retired,400899,655062,4,710,6.75,0.7,Floating
19,Female,Single,Salaried,1341898,177937,4,702,6.75,0.54,Floating
18,Female,Married,Salaried,1467349,119955,2,523,6.75,0.66,Fixed
65,Female,Married,Retired,945489,557246,1,321,6.75,1.1099999999999999,Fixed
29,Male,Single,Salaried,6408,386151,5,886,6.75,0.1,Floating
86,Male,Married,Retired,1265709,87544,6,571,6.75,1.4300000000000002,Floating
54,Female,Single,Salaried,840226,403428,9,457,6.75,0.18,Floating
49,Female,Married,Salaried,1689131,1246323,1,694,6.75,0.93,Floating
26,Female,Married,Salaried,1983566,488776,5,364,6.75,0.48,Fixed
36,Female,Single,Salaried,247864,410038,5,305,6.75,0.1,Fixed
65,Female,Married,Retired,2236291,821084,9,888,6.75,0.65,Floating
20,Male,Married,Salaried,220872,859603,4,390,6.75,0.43,Fixed
37,Female,Single,Salaried,730817,456443,3,790,6.75,1.0,Floating
41,Female,Married,Salaried,1513146,574496,3,590,6.75,0.89,Floating
71,Female,Single,Retired,639174,715024,6,416,6.75,1.48,Fixed
50,Female,Single,Salaried,593333,891249,1,524,6.75,0.45,Floating
41,Male,Married,Salaried,146776,281748,1,614,6.75,0.68,Floating
89,Male,Married,Retired,332173,211292,1,683,6.75,1.02,Fixed
53,Male,Married,Salaried,592830,285811,7,825,6.75,0.03,Fixed
55,Male,Single,Salaried,1387200,695917,5,487,6.75,0.14,Floating
42,Female,Married,Salaried,1839257,730303,9,789,6.75,0.29,Fixed
35,Female,Married,Salaried,620707,558795,3,384,6.75,0.31,Floating
83,Male,Married,Retired,799613,793734,6,685,6.75,1.19,Floating
71,Male,Married,Retired,503064,730601,7,419,6.75,1.22,Fixed
52,Female,Married,Salaried,235888,313458,3,624,6.75,0.45,Floating
78,Female,Single,Retired,237236,50129,9,442,6.75,0.88,Floating
58,Male,Married,Salaried,362246,368217,2,605,6.75,0.18,Floating
50,Female,Married,Salaried,974956,661206,7,773,6.75,0.04,Floating
85,Male,Single,Retired,685782,648135,4,325,6.75,1.0899999999999999,Floating
50,Male,Married,Self-Employed,811376,40945,9,541,6.75,0.35,Floating
31,Male,Single,Salaried,1198404,208329,7,641,6.75,0.48,Floating
38,Male,Married,Salaried,953743,707156,8,574,6.75,0.9,Floating
65,Male,Married,Retired,417712,714489,3,848,6.75,1.17,Fixed
37,Female,Single,Salaried,1478638,607840,6,520,6.75,0.78,Floating
25,Female,Married,Salaried,10668,771625,4,427,6.75,0.18,Fixed
24,Male,Married,Salaried,613031,563092,4,731,6.75,0.0,Fixed
84,Male,Married,Retired,1861086,101353,2,762,6.75,0.64,Fixed
34,Male,Single,Salaried,1170250,406849,9,555,6.75,0.77,Fixed
50,Female,Single,Salaried,100884,476835,1,541,6.75,0.44,Floating
65,Female,Married,Retired,208342,328960,1,419,6.75,0.71,Floating
76,Male,Single,Retired,830035,323688,7,305,6.75,1.46,Floating
39,Male,Married,Salaried,756691,472222,7,803,6.75,0.49,Floating
47,Female,Married,Salaried,1354535,251465,4,791,6.75,0.37,Fixed
55,Male,Single,Salaried,1565374,139326,8,891,6.75,0.98,Floating
68,Male,Single,Retired,742192,532108,5,410,6.75,0.63,Floating
71,Female,Married,Retired,947327,873539,6,567,6.75,1.1,Floating
25,Male,Married,Salaried,483716,161463,4,695,6.75,0.75,Floating
44,Male,Married,Self-Employed,921083,549774,3,862,6.75,0.94,Floating
44,Male,Single,Salaried,487483,196693,2,347,6.75,0.83,Fixed
38,Male,Single,Salaried,1012189,703995,8,789,6.75,0.29,Floating
47,Female,Married,Salaried,686760,614268,5,404,6.75,0.26,Fixed
45,Female,Single,Self-Employed,1312818,815804,6,369,6.75,0.1,Fixed
81,Female,Single,Retired,1524703,246719,6,660,6.75,0.67,Fixed
86,Female,Single,Retired,1646969,519718,4,300,6.75,1.23,Floating
78,Male,Married,Retired,1018043,1246884,9,874,6.75,0.79,Fixed
65,Female,Married,Retired,1303565,560870,7,358,6.75,0.94,Floating
36,Female,Married,Self-Employed,750196,712809,8,345,6.75,0.69,Floating
21,Male,Married,Salaried,579579,920954,7,379,6.75,0.66,Fixed
52,Male,Single,Salaried,316275,235228,4,722,6.75,0.79,Fixed
81,Female,Single,Retired,1179290,105642,9,776,6.75,0.56,Fixed
66,Female,Married,Retired,25272,8877,2,861,6.75,1.0699999999999998,Floating
34,Male,Single,Self-Employed,1436476,152057,5,604,6.75,0.89,Floating
61,Male,Married,Retired,820598,374258,2,709,6.75,0.87,Floating
47,Female,Married,Salaried,853659,648984,8,716,6.75,0.19,Floating
63,Male,Married,Retired,1336996,785953,9,662,6.75,0.5700000000000001,Floating
23,Female,Married,Salaried,83104,177368,3,575,6.75,0.94,Floating
54,Male,Married,Salaried,888998,1143420,5,528,6.75,0.0,Floating
41,Female,Married,Self-Employed,1789215,890004,9,674,6.75,0.79,Floating
63,Male,Single,Retired,858059,348228,6,632,6.75,0.76,Floating
70,Male,Married,Retired,338435,1214348,3,883,6.75,0.74,Floating
77,Male,Married,Retired,826724,678070,6,779,6.75,0.66,Floating
80,Male,Married,Retired,1654454,479959,9,765,6.75,0.69,Fixed
49,Female,Single,Self-Employed,617444,218894,7,681,6.75,0.51,Fixed
50,Male,Married,Salaried,230043,165504,4,566,6.75,0.88,Floating
84,Male,Single,Retired,766556,781182,4,866,6.75,0.87,Fixed
35,Male,Married,Self-Employed,297628,528888,1,529,6.75,0.75,Floating
42,Female,Married,Salaried,128131,627344,3,858,6.75,0.25,Floating
71,Female,Single,Retired,1376835,158984,9,377,6.75,1.4,Floating
75,Male,Married,Retired,1524024,663279,1,660,6.75,1.4100000000000001,Fixed
84,Female,Married,Retired,1209504,522287,2,360,6.75,0.61,Fixed
63,Female,Married,Retired,1446741,174463,2,306,6.75,1.3399999999999999,Floating
41,Female,Married,Salaried,796818,73283,8,570,6.75,0.7,Fixed
49,Male,Single,Salaried,1675877,511573,6,820,6.75,0.39,Fixed
64,Female,Married,Retired,685822,705411,7,512,6.75,1.33,Floating
40,Male,Married,Salaried,1000257,818347,4,464,6.75,0.9,Fixed
83,Male,Married,Retired,578165,569870,4,530,6.75,1.0,Floating
44,Male,Married,Salaried,298942,258086,4,663,6.75,0.51,Floating
19,Male,Married,Salaried,682072,506201,6,314,6.75,0.7,Floating
34,Male,Married,Salaried,2114608,1213156,4,417,6.75,0.24,Floating
50,Female,Married,Salaried,1766678,270700,1,387,6.75,0.08,Fixed
26,Male,Married,Salaried,1387560,358576,1,815,6.75,0.53,Fixed
60,Male,Married,Retired,785723,508673,8,413,6.75,0.8200000000000001,Floating
65,Male,Married,Retired,774376,566549,2,526,6.75,0.62,Floating
56,Male,Married,Salaried,1856649,122601,9,543,6.75,0.14,Fixed
59,Male,Single,Salaried,1011156,334472,8,720,6.75,0.21,Floating
43,Male,Married,Salaried,1395325,542053,1,301,6.75,0.34,Floating
67,Male,Single,Retired,723139,649040,8,730,6.75,0.94,Floating
42,Male,Married,Salaried,851341,541878,9,659,6.75,0.96,Floating
41,Male,Single,Salaried,1390334,587593,4,770,6.75,0.49,Floating
30,Male,Married,Self-Employed,632298,576939,7,882,6.75,0.91,Floating
77,Female,Married,Retired,1174134,253455,4,879,6.75,1.05,Floating
24,Female,Single,Salaried,649838,913407,3,446,6.75,0.16,Fixed
74,Female,Single,Retired,1255091,384629,1,563,6.75,1.3399999999999999,Floating
53,Male,Married,Salaried,634835,273518,2,328,6.75,0.02,Floating
62,Male,Married,Retired,1876282,62539,7,436,6.75,1.06,Floating
37,Female,Married,Salaried,967878,344978,6,743,6.75,0.34,Floating
82,Male,Married,Retired,1387245,291678,8,647,6.75,0.94,Fixed
25,Male,Married,Salaried,989669,387032,3,629,6.75,0.8,Floating
33,Male,Single,Self-Employed,749314,595524,6,353,6.75,0.01,Floating
31,Male,Married,Self-Employed,1287152,856879,6,375,6.75,0.18,Floating
32,Male,Married,Self-Employed,1576900,743923,2,591,6.75,0.81,Fixed
83,Female,Married,Retired,275823,104043,1,756,6.75,1.05,Floating
49,Male,Single,Salaried,1065517,802467,2,689,6.75,0.26,Floating
80,Female,Single,Retired,945954,656353,9,340,6.75,1.0,Floating
68,Male,Married,Retired,1104885,1040412,6,745,6.75,0.9,Floating
42,Male,Married,Self-Employed,1676923,308669,3,406,6.75,0.77,Floating
75,Female,Married,Retired,1408138,197708,7,692,6.75,1.26,Floating
80,Female,Married,Retired,1578324,759473,1,639,6.75,0.96,Fixed
79,Male,Married,Retired,1131551,726123,8,403,6.75,0.78,Fixed
39,Male,Single,Salaried,783189,296948,7,340,6.75,0.01,Fixed
75,Female,Single,Retired,212397,423783,3,303,6.75,0.97,Fixed
75,Male,Married,Retired,1707661,643623,4,309,6.75,1.0899999999999999,Floating
66,Male,Married,Retired,250066,604620,7,860,6.75,1.1099999999999999,Floating
69,Female,Married,Retired,1793784,489129,4,373,6.75,1.37,Floating
59,Male,Married,Salaried,1370463,527705,5,347,6.75,0.47,Floating
87,Male,Single,Retired,1984276,254505,1,423,6.75,1.22,Floating
32,Male,Married,Self-Employed,1132855,439461,5,450,6.75,0.13,Floating
71,Male,Married,Retired,1250150,84431,4,788,6.75,1.26,Floating
77,Female,Single,Retired,907369,498363,3,692,6.75,0.95,Floating
25,Male,Married,Salaried,1037895,89053,9,749,6.75,0.69,Floating
70,Female,Single,Retired,637633,168951,1,527,6.75,1.3399999999999999,Floating
77,Male,Single,Retired,941289,1456095,5,566,6.75,0.75,Floating
22,Male,Single,Salaried,576745,69894,2,558,6.75,0.67,Floating
85,Male,Married,Retired,1023111,792475,5,744,6.75,0.62,Fixed
23,Female,Married,Salaried,987176,581671,5,777,6.75,0.11,Floating
64,Female,Married,Retired,989912,590084,1,444,6.75,0.78,Floating
72,Male,Married,Retired,954851,179909,4,884,6.75,0.63,Floating
57,Male,Single,Salaried,690967,718958,7,329,6.75,0.45,Floating
69,Male,Married,Retired,1279773,45285,1,891,6.75,1.37,Fixed
33,Female,Married,Self-Employed,1157455,351886,2,307,6.75,0.07,Floating
30,Male,Married,Salaried,1138136,505586,4,468,6.75,0.36,Fixed
47,Female,Single,Salaried,529109,998972,2,304,6.75,0.21,Fixed
36,Male,Married,Self-Employed,1336666,696677,2,624,6.75,0.46,Floating
34,Male,Married,Salaried,618103,370491,1,451,6.75,0.63,Floating
80,Male,Married,Retired,738617,416325,2,633,6.75,1.35,Floating
36,Male,Single,Salaried,1045872,672011,3,680,6.75,0.02,Fixed
75,Female,Married,Retired,1575077,136394,4,880,6.75,1.0699999999999998,Fixed
72,Female,Married,Retired,396087,832982,1,719,6.75,1.19,Floating
79,Male,Married,Retired,505670,471553,1,753,6.75,0.63,Fixed
40,Male,Married,Salaried,18552,237439,7,626,6.75,0.94,Fixed
26,Male,Single,Salaried,1253105,81521,5,729,6.75,0.08,Floating
29,Female,Single,Salaried,831362,249117,7,890,6.75,0.32,Floating
18,Male,Married,Salaried,1212206,1025542,9,881,6.75,0.24,Floating
75,Male,Married,Retired,1169120,65991,1,587,6.75,0.5700000000000001,Floating
18,Male,Married,Salaried,1394016,643857,8,359,6.75,0.7,Floating
51,Male,Single,Salaried,1000719,630138,4,427,6.75,0.51,Floating
65,Male,Married,Retired,645348,356983,9,682,6.75,0.9299999999999999,Floating
18,Male,Single,Salaried,1116006,465992,2,469,6.75,0.2,Fixed
33,Male,Single,Self-Employed,1207278,379753,9,851,6.75,0.44,Floating
78,Female,Single,Retired,825823,566860,8,326,6.75,1.4,Fixed
81,Male,Single,Retired,1045416,383269,6,304,6.75,0.86,Fixed
80,Male,Married,Retired,327495,413234,5,744,6.75,1.01,Fixed
86,Female,Single,Retired,363753,475170,3,807,6.75,1.4300000000000002,Fixed
39,Male,Single,Salaried,169779,687500,1,607,6.75,0.69,Fixed
84,Female,Married,Retired,1144279,679808,6,374,6.75,0.54,Floating
43,Male,Single,Self-Employed,1369982,462555,5,644,6.75,0.33,Floating
33,Male,Single,Self-Employed,287210,424104,8,683,6.75,0.98,Floating
68,Male,Single,Retired,1080556,668954,1,552,6.75,1.37,Fixed
74,Male,Married,Retired,1223580,242072,1,478,6.75,1.38,Fixed
46,Female,Married,Self-Employed,800347,150324,7,682,6.75,0.93,Floating
86,Male,Married,Retired,1800774,97520,8,556,6.75,1.13,Fixed
64,Male,Single,Retired,271430,571753,1,765,6.75,1.28,Floating
79,Male,Single,Retired,811220,828286,9,755,6.75,1.15,Floating
86,Male,Married,Retired,456119,521259,7,831,6.75,1.03,Floating
33,Male,Married,Salaried,1172813,579241,7,654,6.75,0.52,Floating
65,Male,Single,Retired,634037,344166,8,853,6.75,0.51,Floating
