Age,Gender,Marital Status,Dependents,Employment,Income (₹),Years in Job,Credit Score,Active Loans,Missed Payments (12M),Loan Amount (₹),LTV (%),DTI (%),Loan Tenure (yrs),Repayment Type,Co-applicant Present,Co-applicant Income (₹),Existing Customer,Salary Account,Base Rate Type,Base Rate (%),Dynamic Rate (%)
74,Male,Married,0,Part-time,380000,23,701,0,0,570000,68,24,11,Step-up EMI,No,830000,Yes,Yes,Floating,6.5,8.2
36,Male,Single,3,Salaried,1600000,2,721,0,1,5300000,82,27,18,Standard EMI,Yes,1950000,Yes,Yes,Floating,6.5,7.59
72,Female,Single,2,Part-time,490000,22,739,2,3,1360000,71,21,13,Step-up EMI,Yes,100000,No,No,Floating,6.5,6.2
20,Male,Single,4,Part-time,540000,2,561,4,3,1920000,80,36,20,Step-up EMI,No,1340000,Yes,Yes,Fixed,6.5,9.4
28,Female,Single,3,Part-time,180000,4,738,3,0,1440000,80,32,22,Step-up EMI,No,1880000,No,Yes,Fixed,6.5,7.07
56,Male,Divorced,3,Salaried,2840000,15,741,4,2,9080000,83,27,24,Standard EMI,No,510000,Yes,No,Floating,6.5,7.93
70,Female,Married,2,Part-time,320000,45,711,5,0,1360000,67,28,12,Standard EMI,Yes,1100000,No,No,Floating,6.5,6.88
60,Male,Divorced,3,Retired,510000,28,743,0,3,520000,63,27,8,Standard EMI,No,930000,No,No,Fixed,6.5,7.4
52,Female,Divorced,1,Part-time,800000,31,646,4,3,3520000,75,29,16,Step-up EMI,Yes,1700000,Yes,Yes,Floating,6.5,8.58
36,Other,Widowed,1,Part-time,850000,3,673,2,0,2630000,81,31,16,Step-up EMI,No,1700000,No,Yes,Fixed,6.5,9.08
29,Male,Single,2,Salaried,440000,2,548,5,1,230000,81,30,28,Step-up EMI,No,2180000,Yes,No,Floating,6.5,8.74
43,Other,Married,3,Part-time,920000,20,663,5,0,2070000,75,25,18,Standard EMI,No,1230000,Yes,Yes,Floating,6.5,9.09
74,Other,Divorced,3,Part-time,770000,30,627,0,2,1350000,70,34,9,Standard EMI,Yes,10000,No,Yes,Floating,6.5,8.92
64,Male,Married,1,Contractual,710000,21,777,0,1,1170000,66,27,6,Standard EMI,Yes,380000,Yes,Yes,Fixed,6.5,6.18
24,Other,Single,2,Salaried,130000,5,737,0,3,110000,87,44,29,Standard EMI,Yes,2200000,No,No,Fixed,6.5,6.57
63,Female,Widowed,0,Part-time,700000,11,675,1,3,970000,63,32,13,Standard EMI,Yes,850000,Yes,No,Fixed,6.5,10.37
22,Other,Single,0,Salaried,1030000,1,631,2,2,1150000,85,43,26,Step-up EMI,No,1180000,Yes,Yes,Floating,6.5,9.99
70,Male,Widowed,4,Salaried,930000,15,767,1,1,2510000,59,23,12,Standard EMI,No,2270000,No,Yes,Floating,6.5,5.51
25,Male,Single,1,Part-time,210000,5,537,5,3,670000,90,42,25,Standard EMI,Yes,160000,Yes,Yes,Fixed,6.5,9.65
57,Female,Single,0,Part-time,680000,36,612,1,0,3150000,76,33,24,Step-up EMI,Yes,30000,Yes,Yes,Fixed,6.5,9.94
45,Female,Single,0,Salaried,1270000,2,805,4,3,3930000,77,37,11,Standard EMI,No,1450000,No,No,Floating,6.5,6.96
26,Male,Single,0,Salaried,1420000,6,536,0,2,840000,85,41,20,Step-up EMI,Yes,270000,No,No,Fixed,6.5,10.79
19,Male,Single,4,Part-time,780000,1,520,5,0,1880000,85,38,22,Standard EMI,Yes,390000,Yes,No,Fixed,6.5,8.61
49,Male,Widowed,4,Part-time,700000,10,720,2,2,2070000,75,33,19,Step-up EMI,No,670000,Yes,No,Floating,6.5,8.16
37,Other,Widowed,1,Salaried,1740000,18,841,1,1,2930000,81,40,17,Step-up EMI,No,2250000,No,Yes,Fixed,6.5,5.55
45,Male,Divorced,2,Salaried,2410000,6,755,1,0,9890000,78,40,21,Step-up EMI,No,990000,Yes,No,Fixed,6.5,7.13
63,Male,Divorced,2,Contractual,500000,4,765,2,1,1760000,56,31,10,Standard EMI,No,1350000,No,Yes,Floating,6.5,7.99
28,Other,Single,1,Salaried,670000,8,739,0,0,390000,87,33,23,Standard EMI,No,300000,Yes,Yes,Fixed,6.5,7.79
65,Male,Widowed,3,Salaried,1340000,12,751,0,1,1010000,57,20,6,Standard EMI,Yes,1780000,No,No,Fixed,6.5,7.29
24,Female,Single,1,Salaried,910000,5,698,5,3,1900000,88,44,29,Step-up EMI,Yes,1880000,No,No,Floating,6.5,8.56
69,Female,Widowed,0,Retired,420000,30,608,5,3,620000,55,25,6,Standard EMI,Yes,70000,No,No,Floating,6.5,9.05
30,Male,Single,2,Contractual,560000,11,552,0,1,1100000,82,36,30,Step-up EMI,No,450000,No,No,Fixed,6.5,7.92
25,Female,Single,3,Contractual,380000,3,718,0,3,680000,89,41,30,Step-up EMI,Yes,1130000,Yes,No,Fixed,6.5,5.87
24,Other,Single,4,Salaried,1320000,1,521,1,0,340000,87,37,28,Step-up EMI,No,960000,No,Yes,Fixed,6.5,10.19
50,Other,Single,3,Salaried,500000,5,847,0,0,9020000,83,28,23,Standard EMI,No,810000,Yes,Yes,Fixed,6.5,5.9
48,Other,Single,4,Contractual,1400000,30,728,0,2,4330000,79,34,13,Standard EMI,Yes,2320000,Yes,Yes,Fixed,6.5,7.33
23,Male,Single,2,Salaried,1190000,1,665,4,2,1800000,80,43,25,Step-up EMI,Yes,570000,Yes,Yes,Fixed,6.5,8.91
23,Male,Single,4,Part-time,410000,3,587,1,2,1280000,90,42,25,Standard EMI,Yes,1350000,No,Yes,Fixed,6.5,8.87
58,Male,Divorced,2,Part-time,1020000,3,648,0,2,1100000,75,30,13,Standard EMI,Yes,1040000,No,No,Fixed,6.5,7.77
30,Male,Single,1,Contractual,200000,8,640,4,1,1670000,82,30,23,Standard EMI,Yes,1420000,No,No,Fixed,6.5,9.09
63,Male,Married,0,Contractual,740000,5,658,5,1,2250000,73,31,6,Standard EMI,Yes,550000,Yes,No,Fixed,6.5,8.07
65,Other,Widowed,1,Contractual,370000,43,734,0,0,1590000,58,22,12,Standard EMI,No,2270000,No,No,Floating,6.5,5.02
21,Other,Single,3,Contractual,390000,2,692,0,3,1910000,80,38,25,Step-up EMI,No,2430000,Yes,Yes,Floating,6.5,9.6
62,Other,Widowed,1,Part-time,320000,24,698,1,1,1990000,51,25,13,Standard EMI,Yes,110000,No,No,Fixed,6.5,9.11
28,Male,Single,2,Contractual,580000,3,550,1,3,1970000,89,34,30,Standard EMI,No,1570000,Yes,No,Fixed,6.5,8.61
55,Male,Divorced,3,Contractual,1820000,2,783,3,0,4610000,76,26,21,Standard EMI,No,1330000,Yes,No,Fixed,6.5,5.47
30,Female,Single,0,Part-time,410000,7,618,0,2,280000,89,42,29,Step-up EMI,Yes,1310000,Yes,No,Floating,6.5,9.22
23,Other,Single,4,Salaried,1180000,5,585,3,3,1390000,85,43,25,Standard EMI,Yes,200000,Yes,Yes,Fixed,6.5,7.81
64,Other,Married,2,Contractual,710000,5,681,1,2,2120000,58,27,5,Step-up EMI,Yes,2160000,Yes,Yes,Floating,6.5,9.56
25,Female,Single,3,Part-time,170000,6,607,5,0,1750000,89,31,30,Standard EMI,No,160000,Yes,No,Floating,6.5,8.78
68,Male,Married,1,Salaried,780000,7,749,4,1,1960000,55,34,5,Standard EMI,No,940000,No,Yes,Floating,6.5,7.74
72,Other,Single,2,Part-time,520000,35,628,5,3,850000,73,32,9,Step-up EMI,Yes,1010000,Yes,Yes,Floating,6.5,9.06
30,Male,Single,4,Salaried,400000,2,572,2,3,1850000,87,38,23,Standard EMI,Yes,1450000,Yes,Yes,Floating,6.5,8.56
68,Other,Widowed,1,Retired,550000,17,635,1,3,730000,67,24,13,Standard EMI,No,1990000,No,Yes,Fixed,6.5,8.75
25,Other,Single,1,Contractual,170000,1,516,3,3,670000,85,37,21,Step-up EMI,Yes,880000,Yes,Yes,Floating,6.5,7.89
50,Male,Married,2,Contractual,1970000,3,729,4,1,2930000,77,31,16,Step-up EMI,Yes,50000,Yes,No,Fixed,6.5,7.24
42,Male,Married,2,Part-time,840000,17,606,0,2,3210000,82,31,16,Step-up EMI,Yes,1050000,No,No,Fixed,6.5,8.75
39,Other,Single,3,Contractual,1950000,3,764,4,0,2420000,81,33,25,Standard EMI,No,2300000,Yes,No,Floating,6.5,8.06
23,Male,Single,4,Salaried,1330000,1,512,4,0,1860000,87,31,28,Standard EMI,Yes,2180000,No,Yes,Floating,6.5,10.66
24,Female,Single,4,Salaried,1160000,3,726,1,2,280000,80,42,26,Step-up EMI,No,250000,Yes,No,Floating,6.5,7.06
20,Male,Single,4,Contractual,490000,1,535,1,2,1930000,82,38,27,Standard EMI,No,1400000,No,No,Fixed,6.5,9.3
72,Other,Married,0,Part-time,360000,9,710,5,0,930000,55,30,8,Standard EMI,Yes,2070000,No,No,Floating,6.5,6.6
75,Other,Married,3,Salaried,1420000,30,763,2,3,2570000,57,23,9,Step-up EMI,No,420000,Yes,No,Floating,6.5,5.94
75,Other,Divorced,4,Retired,310000,20,710,0,1,510000,55,26,9,Step-up EMI,Yes,1080000,No,No,Fixed,6.5,5.64
65,Female,Single,3,Salaried,870000,47,786,4,2,2750000,53,22,5,Standard EMI,Yes,1970000,No,Yes,Fixed,6.5,6.9
64,Female,Single,4,Retired,490000,29,671,0,3,1000000,53,23,8,Standard EMI,Yes,700000,Yes,No,Fixed,6.5,7.41
19,Male,Single,0,Part-time,240000,1,580,3,0,1190000,88,45,26,Standard EMI,No,690000,No,Yes,Floating,6.5,9.47
19,Female,Single,1,Contractual,140000,1,715,4,1,1740000,85,33,23,Standard EMI,No,750000,Yes,Yes,Fixed,6.5,6.47
57,Other,Divorced,0,Salaried,2270000,18,787,4,3,5720000,80,31,11,Step-up EMI,No,360000,No,No,Floating,6.5,7.79
55,Female,Divorced,1,Part-time,630000,24,644,2,3,2190000,75,36,18,Step-up EMI,No,250000,Yes,Yes,Floating,6.5,9.47
59,Other,Single,1,Salaried,1000000,29,767,1,2,5010000,83,26,14,Standard EMI,Yes,1750000,No,No,Floating,6.5,7.82
64,Male,Single,4,Contractual,510000,43,675,1,2,1440000,68,28,12,Standard EMI,Yes,2090000,Yes,Yes,Fixed,6.5,9.09
67,Male,Single,4,Retired,360000,34,607,5,3,1390000,73,33,5,Standard EMI,No,180000,Yes,No,Floating,6.5,8.92
30,Male,Single,4,Salaried,1300000,1,503,2,1,1970000,84,32,20,Standard EMI,Yes,1890000,Yes,No,Floating,6.5,9.19
32,Other,Widowed,2,Contractual,1110000,4,656,5,1,4300000,83,26,22,Standard EMI,No,1810000,Yes,Yes,Floating,6.5,8.41
51,Female,Widowed,4,Contractual,610000,32,800,4,2,3470000,78,36,21,Standard EMI,Yes,1030000,No,Yes,Floating,6.5,7.23
74,Other,Married,0,Salaried,680000,20,823,3,1,1170000,73,35,12,Standard EMI,Yes,2380000,Yes,Yes,Fixed,6.5,5.46
70,Female,Married,4,Salaried,1270000,27,847,2,1,1440000,57,28,9,Standard EMI,No,1240000,No,Yes,Floating,6.5,5.52
19,Other,Single,4,Part-time,420000,1,742,5,1,1880000,88,43,22,Standard EMI,No,2460000,Yes,Yes,Floating,6.5,7.05
24,Female,Single,3,Part-time,740000,6,508,0,0,930000,82,31,26,Standard EMI,No,2300000,Yes,No,Floating,6.5,8.58
71,Male,Widowed,4,Retired,210000,16,650,5,2,510000,64,24,7,Standard EMI,No,1240000,No,No,Floating,6.5,8.78
74,Female,Widowed,3,Contractual,520000,30,693,0,0,2370000,56,25,13,Standard EMI,Yes,2170000,No,No,Floating,6.5,8.06
20,Male,Single,2,Contractual,240000,1,717,0,3,1180000,84,34,20,Standard EMI,Yes,2090000,No,No,Floating,6.5,6.63
60,Male,Single,3,Contractual,750000,11,718,2,2,1420000,70,24,5,Standard EMI,Yes,320000,Yes,Yes,Fixed,6.5,6.69
33,Female,Widowed,2,Salaried,2120000,2,760,5,3,8710000,81,36,22,Standard EMI,Yes,1540000,No,No,Floating,6.5,6.88
38,Other,Divorced,0,Part-time,840000,3,750,1,3,1190000,77,37,10,Step-up EMI,No,70000,Yes,No,Floating,6.5,8.07
20,Female,Single,0,Salaried,1470000,2,686,3,2,1800000,90,40,24,Step-up EMI,Yes,340000,Yes,Yes,Fixed,6.5,8.96
40,Male,Single,0,Salaried,1820000,11,737,3,2,5630000,84,33,13,Standard EMI,No,1620000,Yes,No,Floating,6.5,7.39
33,Other,Married,1,Contractual,1820000,7,678,2,2,2690000,81,33,12,Step-up EMI,Yes,1380000,Yes,No,Floating,6.5,10.28
70,Other,Divorced,4,Salaried,760000,39,659,1,3,1150000,60,24,14,Standard EMI,No,1840000,No,Yes,Floating,6.5,7.48
30,Male,Single,2,Salaried,130000,7,571,5,1,1090000,80,44,20,Step-up EMI,Yes,1000000,Yes,Yes,Floating,6.5,7.93
28,Male,Single,3,Contractual,110000,2,545,5,3,1010000,83,34,27,Step-up EMI,No,280000,No,Yes,Fixed,6.5,9.26
57,Other,Single,4,Contractual,1480000,4,771,0,3,3490000,79,32,22,Standard EMI,Yes,560000,Yes,No,Fixed,6.5,6.08
46,Other,Single,4,Part-time,410000,8,646,3,1,3630000,76,37,23,Standard EMI,No,1980000,No,No,Fixed,6.5,8.96
44,Male,Divorced,1,Salaried,2190000,17,701,3,0,3420000,75,32,11,Standard EMI,Yes,1860000,No,Yes,Fixed,6.5,7.93
64,Male,Married,2,Retired,470000,43,742,3,3,1440000,65,34,7,Step-up EMI,Yes,1830000,No,Yes,Fixed,6.5,6.27
53,Female,Single,3,Contractual,540000,14,679,4,0,2460000,80,25,12,Standard EMI,Yes,370000,No,No,Floating,6.5,9.2
32,Other,Widowed,3,Contractual,1720000,10,686,1,3,4260000,81,34,15,Step-up EMI,Yes,1260000,Yes,Yes,Fixed,6.5,8.95
39,Female,Divorced,2,Part-time,1190000,7,665,5,2,1950000,80,29,17,Step-up EMI,No,230000,Yes,Yes,Floating,6.5,9.08
53,Male,Divorced,2,Salaried,900000,19,767,5,1,4030000,82,31,18,Standard EMI,No,2190000,Yes,Yes,Fixed,6.5,7.83
41,Other,Divorced,1,Contractual,1590000,9,689,2,1,1820000,79,34,17,Standard EMI,Yes,1300000,Yes,Yes,Floating,6.5,7.77
68,Male,Widowed,1,Retired,310000,9,732,2,2,800000,75,27,15,Standard EMI,No,1630000,No,Yes,Fixed,6.5,7.52
24,Other,Single,2,Salaried,160000,3,640,0,2,730000,80,38,26,Step-up EMI,Yes,1090000,Yes,No,Floating,6.5,8.74
40,Other,Widowed,2,Salaried,1910000,3,787,1,2,2810000,77,37,13,Standard EMI,No,930000,No,No,Floating,6.5,6.19
29,Female,Single,2,Salaried,180000,9,547,3,2,1820000,81,36,25,Standard EMI,Yes,330000,Yes,Yes,Floating,6.5,9.66
27,Male,Single,2,Contractual,490000,3,641,1,3,640000,90,41,22,Standard EMI,No,1350000,Yes,Yes,Floating,6.5,8.13
39,Male,Widowed,1,Salaried,1240000,18,657,5,0,7550000,79,38,25,Step-up EMI,Yes,730000,No,No,Floating,6.5,10.39
69,Male,Married,2,Part-time,440000,32,602,5,1,960000,75,20,8,Standard EMI,No,2160000,Yes,Yes,Fixed,6.5,9.82
53,Female,Divorced,0,Salaried,2540000,3,828,0,2,4400000,77,31,15,Step-up EMI,No,790000,No,Yes,Fixed,6.5,7.61
25,Male,Single,3,Part-time,270000,7,510,1,1,1480000,85,33,24,Step-up EMI,No,1660000,Yes,Yes,Fixed,6.5,9.88
37,Female,Married,4,Salaried,2530000,3,689,5,2,9240000,84,36,23,Step-up EMI,No,1730000,No,No,Floating,6.5,10.04
22,Other,Single,0,Salaried,900000,2,592,2,2,630000,87,39,24,Standard EMI,Yes,1290000,No,No,Floating,6.5,8.75
68,Female,Widowed,2,Part-time,270000,21,625,3,1,1500000,51,26,5,Step-up EMI,Yes,2020000,No,No,Fixed,6.5,8.2
26,Other,Single,1,Salaried,590000,8,676,3,2,620000,88,36,25,Step-up EMI,No,260000,No,No,Floating,6.5,9.84
69,Male,Widowed,3,Salaried,1440000,10,715,5,3,1470000,54,21,5,Standard EMI,No,2230000,Yes,Yes,Floating,6.5,7.51
37,Female,Divorced,1,Part-time,650000,10,620,2,2,2310000,80,32,20,Standard EMI,No,1560000,Yes,No,Fixed,6.5,7.88
30,Female,Single,1,Salaried,830000,6,719,0,2,330000,87,34,25,Standard EMI,No,2480000,No,Yes,Floating,6.5,6.48
58,Other,Divorced,2,Contractual,910000,3,742,1,3,3500000,81,25,18,Standard EMI,Yes,2200000,Yes,No,Fixed,6.5,6.83
74,Female,Married,1,Retired,280000,2,673,1,0,810000,75,30,13,Step-up EMI,Yes,2230000,Yes,Yes,Fixed,6.5,9.77
63,Male,Single,0,Contractual,900000,36,689,3,2,1770000,74,34,5,Step-up EMI,Yes,2420000,Yes,No,Fixed,6.5,8.21
23,Female,Single,2,Salaried,910000,1,659,3,1,500000,81,42,20,Step-up EMI,Yes,880000,Yes,No,Floating,6.5,9.37
30,Male,Single,1,Part-time,370000,6,624,2,3,1700000,83,45,30,Standard EMI,Yes,1230000,No,No,Fixed,6.5,8.97
33,Female,Single,0,Salaried,2900000,14,662,2,2,8580000,84,38,18,Step-up EMI,No,1600000,Yes,No,Fixed,6.5,9.41
40,Female,Single,2,Part-time,1130000,5,649,0,2,3780000,76,27,14,Step-up EMI,No,1500000,Yes,Yes,Floating,6.5,10.59
70,Male,Single,1,Salaried,730000,14,679,4,0,2620000,52,26,10,Step-up EMI,Yes,450000,No,Yes,Fixed,6.5,7.72
47,Male,Married,2,Salaried,530000,25,778,1,1,4520000,78,25,21,Step-up EMI,No,2170000,No,No,Fixed,6.5,6.25
68,Female,Married,0,Salaried,1330000,32,827,1,1,1610000,52,22,13,Step-up EMI,Yes,330000,No,Yes,Floating,6.5,7.06
49,Male,Divorced,4,Salaried,1400000,24,737,1,0,9680000,81,34,12,Step-up EMI,Yes,2160000,No,Yes,Fixed,6.5,7.22
75,Female,Single,1,Retired,560000,57,625,5,3,1050000,63,31,8,Step-up EMI,No,310000,No,Yes,Fixed,6.5,9.28
49,Male,Married,1,Contractual,1880000,9,750,5,0,3730000,80,27,12,Step-up EMI,No,50000,Yes,No,Floating,6.5,7.83
30,Male,Single,3,Salaried,140000,1,516,0,1,340000,86,36,24,Step-up EMI,No,2180000,Yes,Yes,Fixed,6.5,9.27
75,Female,Divorced,2,Part-time,360000,40,721,4,2,1600000,51,29,5,Step-up EMI,No,2370000,No,Yes,Fixed,6.5,7.13
44,Female,Divorced,1,Part-time,1050000,12,625,3,0,3700000,78,40,13,Standard EMI,Yes,1020000,No,Yes,Fixed,6.5,10.18
25,Male,Single,3,Salaried,1000000,2,612,2,1,1640000,81,31,20,Step-up EMI,No,380000,No,No,Floating,6.5,9.96
35,Female,Single,0,Salaried,2130000,17,700,3,1,2350000,76,33,12,Standard EMI,No,170000,Yes,Yes,Floating,6.5,8.48
65,Male,Single,3,Salaried,1240000,3,721,0,1,1910000,74,20,7,Step-up EMI,No,1250000,Yes,Yes,Floating,6.5,6.87
18,Female,Single,3,Contractual,270000,1,697,3,1,1620000,82,44,25,Standard EMI,No,1900000,No,Yes,Fixed,6.5,7.84
18,Other,Single,4,Salaried,1190000,1,539,4,2,1650000,80,41,22,Standard EMI,No,430000,Yes,No,Fixed,6.5,9.93
29,Female,Single,0,Contractual,110000,2,660,0,0,840000,83,30,20,Step-up EMI,No,1780000,Yes,Yes,Floating,6.5,8.83
73,Other,Widowed,4,Retired,230000,32,746,1,2,1150000,69,35,15,Standard EMI,No,190000,Yes,No,Floating,6.5,6.51
60,Female,Divorced,4,Salaried,960000,26,778,1,0,2040000,73,33,12,Standard EMI,Yes,1480000,No,Yes,Floating,6.5,7.45
63,Female,Divorced,2,Contractual,750000,38,763,5,1,1150000,71,29,13,Step-up EMI,Yes,440000,Yes,No,Floating,6.5,7.24
21,Female,Single,4,Part-time,500000,1,619,4,1,1590000,84,40,29,Standard EMI,No,2390000,Yes,Yes,Fixed,6.5,8.68
25,Other,Single,3,Contractual,440000,1,681,2,3,310000,86,30,30,Step-up EMI,Yes,1750000,Yes,Yes,Floating,6.5,8.34
75,Other,Divorced,3,Part-time,410000,23,609,2,2,1800000,65,29,7,Step-up EMI,No,200000,Yes,Yes,Fixed,6.5,9.59
63,Female,Single,3,Salaried,530000,32,705,4,3,1100000,75,34,11,Step-up EMI,Yes,1550000,No,No,Floating,6.5,8.18
41,Other,Single,4,Contractual,1650000,22,775,2,2,4150000,77,36,10,Standard EMI,No,860000,Yes,No,Fixed,6.5,6.71
27,Other,Single,4,Part-time,160000,9,711,2,1,1980000,84,42,23,Step-up EMI,Yes,1950000,No,No,Floating,6.5,6.38
19,Male,Single,1,Contractual,120000,1,597,3,0,170000,85,31,28,Step-up EMI,No,1930000,Yes,No,Fixed,6.5,9.34
29,Male,Single,0,Part-time,100000,9,708,3,0,1900000,81,38,30,Step-up EMI,Yes,400000,No,No,Floating,6.5,8.15
63,Female,Single,2,Salaried,1060000,16,668,1,2,2190000,56,28,11,Step-up EMI,No,2030000,Yes,Yes,Floating,6.5,9.53
43,Other,Married,3,Salaried,2980000,10,726,3,2,8340000,76,35,22,Standard EMI,No,410000,No,No,Fixed,6.5,6.9
43,Female,Married,0,Part-time,1020000,24,730,5,2,1400000,84,31,15,Standard EMI,No,1330000,No,No,Fixed,6.5,7.94
67,Female,Married,1,Contractual,1110000,40,764,2,2,1280000,66,34,14,Step-up EMI,Yes,80000,No,No,Fixed,6.5,5.38
23,Male,Single,0,Contractual,180000,1,535,4,3,930000,90,39,28,Standard EMI,Yes,760000,Yes,No,Fixed,6.5,8.87
46,Male,Widowed,0,Part-time,640000,10,619,5,0,3630000,82,27,23,Standard EMI,No,1960000,Yes,Yes,Fixed,6.5,9.1
39,Female,Divorced,2,Salaried,420000,10,765,1,0,5220000,79,27,25,Standard EMI,No,380000,No,No,Fixed,6.5,5.4
61,Male,Divorced,4,Contractual,1110000,12,762,2,2,1170000,75,30,5,Step-up EMI,No,1080000,Yes,No,Fixed,6.5,6.42
31,Other,Single,4,Salaried,1370000,11,688,5,1,8890000,78,28,22,Step-up EMI,No,1380000,Yes,Yes,Floating,6.5,8.06
29,Female,Single,1,Salaried,1340000,6,745,2,2,1630000,86,37,29,Step-up EMI,Yes,380000,Yes,No,Floating,6.5,6.65
69,Female,Married,1,Part-time,790000,39,653,3,2,580000,73,23,5,Standard EMI,No,1140000,No,No,Fixed,6.5,9.45
28,Male,Single,1,Salaried,650000,5,591,1,3,1070000,81,36,23,Step-up EMI,Yes,1730000,Yes,Yes,Floating,6.5,10.25
29,Other,Single,3,Salaried,600000,5,595,1,2,950000,85,39,23,Step-up EMI,No,1330000,Yes,Yes,Floating,6.5,7.89
61,Male,Widowed,3,Salaried,1110000,31,808,0,1,2240000,73,24,10,Step-up EMI,Yes,1450000,Yes,Yes,Fixed,6.5,6.28
25,Male,Single,4,Salaried,1210000,6,511,4,3,410000,89,39,24,Standard EMI,Yes,180000,No,Yes,Floating,6.5,9.37
54,Female,Widowed,4,Contractual,530000,17,664,3,3,4930000,78,26,17,Step-up EMI,No,60000,Yes,No,Floating,6.5,9.17
29,Other,Single,3,Salaried,180000,9,589,4,1,260000,86,40,20,Standard EMI,Yes,990000,No,Yes,Fixed,6.5,7.82
44,Female,Married,2,Part-time,990000,10,741,1,0,1520000,80,32,10,Standard EMI,No,1130000,No,Yes,Floating,6.5,7.35
45,Other,Single,4,Part-time,700000,5,720,5,2,3500000,84,38,11,Step-up EMI,Yes,2090000,No,No,Floating,6.5,7.45
24,Other,Single,3,Salaried,1240000,1,729,0,3,140000,81,39,25,Standard EMI,No,190000,No,No,Floating,6.5,7.17
