product_type,credit_score,years_with_bank,deposit_amount,repayment_history,market_trend,credit_score_adjustment,years_with_bank_adjustment,deposit_amount_adjustment,repayment_history_adjustment,market_trend_adjustment,final_interest_rate_adjustment_bps,adjusted_interest_rate
Fixed Deposit,677,14,406737,good,falling,0,50,25,0,-25,50,0.055
Fixed Deposit,552,15,477310,poor,falling,0,50,25,0,-25,50,0.055
Home Loan,521,6,744029,excellent,rising,-50,25,0,50,0,25,0.0825
Fixed Deposit,529,16,217198,poor,falling,0,50,25,0,-25,50,0.055
Home Loan,690,18,391180,excellent,falling,0,50,0,50,0,100,0.09
Fixed Deposit,759,18,946296,good,rising,0,50,50,0,25,100,0.060000000000000005
Fixed Deposit,704,16,694621,good,stable,0,50,50,0,0,100,0.060000000000000005
Home Loan,558,5,591060,good,stable,-50,0,0,0,0,0,0.08
Fixed Deposit,763,10,626231,good,rising,0,25,50,0,25,100,0.060000000000000005
Home Loan,511,15,381012,excellent,stable,-50,50,0,50,0,50,0.085
Fixed Deposit,618,7,361999,excellent,rising,0,25,25,0,25,75,0.0575
Home Loan,789,10,727578,poor,stable,50,25,0,-50,0,25,0.0825
Home Loan,747,6,675412,excellent,falling,0,25,0,50,0,75,0.0875
Fixed Deposit,626,18,369349,excellent,stable,0,50,25,0,0,75,0.0575
Fixed Deposit,574,9,710319,excellent,rising,0,25,50,0,25,100,0.060000000000000005
Home Loan,703,8,264051,excellent,rising,0,25,0,50,0,75,0.0875
Fixed Deposit,548,3,488350,good,stable,0,0,25,0,0,25,0.052500000000000005
Fixed Deposit,578,14,600162,good,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,740,12,705295,excellent,stable,0,50,50,0,0,100,0.060000000000000005
Home Loan,653,1,575589,excellent,rising,0,0,0,50,0,50,0.085
Home Loan,773,1,370161,good,falling,50,0,0,0,0,50,0.085
Home Loan,595,15,617607,good,falling,-50,50,0,0,0,0,0.08
Home Loan,713,8,794976,poor,falling,0,25,0,-50,0,0,0.08
Home Loan,793,12,267291,poor,stable,50,50,0,-50,0,50,0.085
Home Loan,708,2,334599,poor,stable,0,0,0,-50,0,0,0.08
Home Loan,587,8,709472,good,rising,-50,25,0,0,0,0,0.08
Home Loan,763,12,369177,good,falling,50,50,0,0,0,100,0.09
Home Loan,656,1,554283,excellent,rising,0,0,0,50,0,50,0.085
Fixed Deposit,655,7,553294,good,falling,0,25,50,0,-25,50,0.055
Home Loan,638,8,239432,excellent,stable,0,25,0,50,0,75,0.0875
Fixed Deposit,620,15,525634,poor,falling,0,50,50,0,-25,75,0.0575
Fixed Deposit,564,1,999649,good,falling,0,0,50,0,-25,25,0.052500000000000005
Fixed Deposit,606,5,419068,good,stable,0,0,25,0,0,25,0.052500000000000005
Home Loan,646,7,82735,excellent,falling,0,25,0,50,0,75,0.0875
Home Loan,636,4,909213,good,rising,0,0,0,0,0,0,0.08
Home Loan,661,8,291207,excellent,falling,0,25,0,50,0,75,0.0875
Home Loan,599,0,962463,excellent,falling,-50,0,0,50,0,0,0.08
Fixed Deposit,640,8,178305,excellent,falling,0,25,25,0,-25,25,0.052500000000000005
Home Loan,582,9,773001,excellent,rising,-50,25,0,50,0,25,0.0825
Home Loan,676,3,682337,good,rising,0,0,0,0,0,0,0.08
Home Loan,697,2,464927,good,falling,0,0,0,0,0,0,0.08
Home Loan,611,9,317774,poor,falling,0,25,0,-50,0,0,0.08
Home Loan,555,14,115488,good,rising,-50,50,0,0,0,0,0.08
Fixed Deposit,678,10,184278,excellent,rising,0,25,25,0,25,75,0.0575
Home Loan,685,13,572059,poor,rising,0,50,0,-50,0,0,0.08
Fixed Deposit,717,5,892721,good,falling,0,0,50,0,-25,25,0.052500000000000005
Home Loan,716,11,331097,good,falling,0,50,0,0,0,50,0.085
Fixed Deposit,619,12,413076,good,stable,0,50,25,0,0,75,0.0575
Home Loan,674,16,715428,poor,rising,0,50,0,-50,0,0,0.08
Home Loan,522,15,308946,excellent,stable,-50,50,0,50,0,50,0.085
Fixed Deposit,712,2,128930,excellent,rising,0,0,25,0,25,50,0.055
Fixed Deposit,734,1,236988,good,falling,0,0,25,0,-25,0,0.05
Fixed Deposit,512,10,313211,excellent,stable,0,25,25,0,0,50,0.055
Home Loan,600,8,362802,poor,stable,0,25,0,-50,0,0,0.08
Fixed Deposit,523,2,626453,good,falling,0,0,50,0,-25,25,0.052500000000000005
Home Loan,510,17,392925,good,stable,-50,50,0,0,0,0,0.08
Home Loan,772,19,190931,good,stable,50,50,0,0,0,100,0.09
Fixed Deposit,780,14,603452,excellent,falling,0,50,50,0,-25,75,0.0575
Fixed Deposit,593,13,154946,poor,rising,0,50,25,0,25,100,0.060000000000000005
Home Loan,700,1,261985,poor,falling,0,0,0,-50,0,0,0.08
Home Loan,520,16,964012,good,rising,-50,50,0,0,0,0,0.08
Fixed Deposit,710,7,807730,poor,falling,0,25,50,0,-25,50,0.055
Fixed Deposit,639,9,411395,excellent,rising,0,25,25,0,25,75,0.0575
Fixed Deposit,792,17,595061,poor,rising,0,50,50,0,25,100,0.060000000000000005
Home Loan,797,18,500511,excellent,stable,50,50,0,50,0,100,0.09
Home Loan,600,7,608227,excellent,falling,0,25,0,50,0,75,0.0875
Home Loan,527,7,973618,excellent,falling,-50,25,0,50,0,25,0.0825
Home Loan,540,2,934907,excellent,rising,-50,0,0,50,0,0,0.08
Home Loan,645,2,301442,excellent,rising,0,0,0,50,0,50,0.085
Home Loan,755,11,324962,poor,stable,50,50,0,-50,0,50,0.085
Fixed Deposit,726,16,321479,poor,stable,0,50,25,0,0,75,0.0575
Home Loan,735,3,551571,excellent,falling,0,0,0,50,0,50,0.085
Home Loan,512,16,367152,excellent,stable,-50,50,0,50,0,50,0.085
Home Loan,709,13,646033,poor,falling,0,50,0,-50,0,0,0.08
Fixed Deposit,728,18,748508,excellent,falling,0,50,50,0,-25,75,0.0575
Home Loan,599,8,306445,excellent,stable,-50,25,0,50,0,25,0.0825
Home Loan,530,11,315721,good,falling,-50,50,0,0,0,0,0.08
Fixed Deposit,515,4,123916,good,rising,0,0,25,0,25,50,0.055
Home Loan,636,10,709436,excellent,rising,0,25,0,50,0,75,0.0875
Home Loan,665,19,476141,good,falling,0,50,0,0,0,50,0.085
Home Loan,599,2,109314,good,rising,-50,0,0,0,0,0,0.08
Home Loan,608,14,877637,excellent,rising,0,50,0,50,0,100,0.09
Home Loan,672,13,454311,poor,falling,0,50,0,-50,0,0,0.08
Fixed Deposit,736,10,687871,good,stable,0,25,50,0,0,75,0.0575
Fixed Deposit,661,19,659003,excellent,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,715,7,286576,excellent,falling,0,25,25,0,-25,25,0.052500000000000005
Home Loan,763,3,106680,excellent,stable,50,0,0,50,0,100,0.09
Home Loan,762,11,78400,good,falling,50,50,0,0,0,100,0.09
Home Loan,791,7,556367,excellent,rising,50,25,0,50,0,100,0.09
Fixed Deposit,773,5,681633,good,stable,0,0,50,0,0,50,0.055
Home Loan,502,14,772706,excellent,falling,-50,50,0,50,0,50,0.085
Home Loan,527,11,137110,good,stable,-50,50,0,0,0,0,0.08
Fixed Deposit,648,15,694408,good,falling,0,50,50,0,-25,75,0.0575
Home Loan,527,15,340706,good,falling,-50,50,0,0,0,0,0.08
Fixed Deposit,564,19,68510,good,falling,0,50,0,0,-25,25,0.052500000000000005
Fixed Deposit,520,19,635896,poor,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,751,3,515705,good,stable,0,0,50,0,0,50,0.055
Home Loan,734,10,364326,excellent,falling,0,25,0,50,0,75,0.0875
Home Loan,726,12,809987,good,stable,0,50,0,0,0,50,0.085
Home Loan,512,8,601171,poor,stable,-50,25,0,-50,0,0,0.08
Home Loan,548,3,547125,excellent,stable,-50,0,0,50,0,0,0.08
Home Loan,617,11,776787,excellent,rising,0,50,0,50,0,100,0.09
Home Loan,553,8,741204,good,rising,-50,25,0,0,0,0,0.08
Home Loan,637,12,986232,good,falling,0,50,0,0,0,50,0.085
Fixed Deposit,552,15,804283,good,stable,0,50,50,0,0,100,0.060000000000000005
Home Loan,543,5,585382,excellent,rising,-50,0,0,50,0,0,0.08
Fixed Deposit,552,9,969911,excellent,falling,0,25,50,0,-25,50,0.055
Home Loan,573,12,586932,poor,stable,-50,50,0,-50,0,0,0.08
Home Loan,545,6,282380,excellent,falling,-50,25,0,50,0,25,0.0825
Home Loan,512,18,135834,excellent,rising,-50,50,0,50,0,50,0.085
Fixed Deposit,664,18,421126,good,falling,0,50,25,0,-25,50,0.055
Fixed Deposit,601,16,503962,poor,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,779,12,102748,good,falling,0,50,25,0,-25,50,0.055
Fixed Deposit,757,12,895453,poor,rising,0,50,50,0,25,100,0.060000000000000005
Home Loan,637,1,112651,excellent,stable,0,0,0,50,0,50,0.085
Fixed Deposit,662,9,348951,excellent,rising,0,25,25,0,25,75,0.0575
Home Loan,610,12,78669,excellent,falling,0,50,0,50,0,100,0.09
Home Loan,601,8,735521,poor,rising,0,25,0,-50,0,0,0.08
Fixed Deposit,516,0,450498,good,falling,0,0,25,0,-25,0,0.05
Fixed Deposit,767,13,338683,excellent,rising,0,50,25,0,25,100,0.060000000000000005
Fixed Deposit,681,15,970811,good,rising,0,50,50,0,25,100,0.060000000000000005
Fixed Deposit,523,19,854177,excellent,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,528,14,744793,good,falling,0,50,50,0,-25,75,0.0575
Fixed Deposit,670,0,283670,poor,falling,0,0,25,0,-25,0,0.05
Fixed Deposit,727,16,870987,excellent,falling,0,50,50,0,-25,75,0.0575
Fixed Deposit,687,12,444289,excellent,falling,0,50,25,0,-25,50,0.055
Home Loan,729,14,869115,excellent,rising,0,50,0,50,0,100,0.09
Fixed Deposit,618,15,75741,excellent,falling,0,50,0,0,-25,25,0.052500000000000005
Fixed Deposit,655,15,203358,excellent,stable,0,50,25,0,0,75,0.0575
Home Loan,771,1,53599,good,falling,50,0,0,0,0,50,0.085
Fixed Deposit,674,16,178513,excellent,rising,0,50,25,0,25,100,0.060000000000000005
Home Loan,603,10,863725,poor,falling,0,25,0,-50,0,0,0.08
Home Loan,591,7,327533,excellent,rising,-50,25,0,50,0,25,0.0825
Fixed Deposit,685,19,552865,excellent,stable,0,50,50,0,0,100,0.060000000000000005
Home Loan,782,2,324462,excellent,rising,50,0,0,50,0,100,0.09
Home Loan,680,11,315199,good,rising,0,50,0,0,0,50,0.085
Home Loan,669,19,695452,good,stable,0,50,0,0,0,50,0.085
Home Loan,686,15,656867,poor,falling,0,50,0,-50,0,0,0.08
Fixed Deposit,674,13,711680,good,falling,0,50,50,0,-25,75,0.0575
Home Loan,721,15,154817,poor,rising,0,50,0,-50,0,0,0.08
Fixed Deposit,732,16,54642,good,rising,0,50,0,0,25,75,0.0575
Home Loan,661,10,535910,excellent,stable,0,25,0,50,0,75,0.0875
Home Loan,633,16,583609,poor,falling,0,50,0,-50,0,0,0.08
Home Loan,723,18,392112,poor,rising,0,50,0,-50,0,0,0.08
Home Loan,652,0,793653,poor,stable,0,0,0,-50,0,0,0.08
Fixed Deposit,532,11,502834,excellent,rising,0,50,50,0,25,100,0.060000000000000005
Fixed Deposit,554,14,677058,good,stable,0,50,50,0,0,100,0.060000000000000005
Home Loan,506,17,571315,excellent,rising,-50,50,0,50,0,50,0.085
Home Loan,743,13,469260,excellent,rising,0,50,0,50,0,100,0.09
Fixed Deposit,625,0,203043,good,rising,0,0,25,0,25,50,0.055
Home Loan,511,12,830342,poor,rising,-50,50,0,-50,0,0,0.08
Home Loan,515,14,421906,good,rising,-50,50,0,0,0,0,0.08
Home Loan,707,6,688471,poor,stable,0,25,0,-50,0,0,0.08
Fixed Deposit,542,14,691447,excellent,rising,0,50,50,0,25,100,0.060000000000000005
Fixed Deposit,634,19,862159,excellent,rising,0,50,50,0,25,100,0.060000000000000005
Fixed Deposit,727,9,990063,good,rising,0,25,50,0,25,100,0.060000000000000005
Home Loan,610,13,123820,excellent,falling,0,50,0,50,0,100,0.09
Home Loan,659,5,683350,poor,stable,0,0,0,-50,0,0,0.08
Fixed Deposit,763,13,788561,excellent,falling,0,50,50,0,-25,75,0.0575
Fixed Deposit,724,11,601764,good,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,716,10,572117,good,rising,0,25,50,0,25,100,0.060000000000000005
Fixed Deposit,544,19,505899,excellent,rising,0,50,50,0,25,100,0.060000000000000005
Home Loan,713,18,716351,poor,stable,0,50,0,-50,0,0,0.08
Fixed Deposit,558,1,790457,good,stable,0,0,50,0,0,50,0.055
Home Loan,631,19,170355,good,falling,0,50,0,0,0,50,0.085
Fixed Deposit,603,0,120047,poor,falling,0,0,25,0,-25,0,0.05
Home Loan,694,7,191868,excellent,stable,0,25,0,50,0,75,0.0875
Fixed Deposit,656,13,53881,poor,stable,0,50,0,0,0,50,0.055
Fixed Deposit,597,8,589956,excellent,rising,0,25,50,0,25,100,0.060000000000000005
Fixed Deposit,725,1,281789,excellent,rising,0,0,25,0,25,50,0.055
Fixed Deposit,704,4,215384,poor,falling,0,0,25,0,-25,0,0.05
Home Loan,578,7,78106,poor,rising,-50,25,0,-50,0,0,0.08
Fixed Deposit,623,15,798118,excellent,falling,0,50,50,0,-25,75,0.0575
Home Loan,717,15,852161,good,stable,0,50,0,0,0,50,0.085
Home Loan,503,12,703642,poor,stable,-50,50,0,-50,0,0,0.08
Home Loan,589,19,644608,excellent,rising,-50,50,0,50,0,50,0.085
Home Loan,603,14,891345,excellent,stable,0,50,0,50,0,100,0.09
Fixed Deposit,618,0,371546,good,stable,0,0,25,0,0,25,0.052500000000000005
Home Loan,632,2,171649,excellent,stable,0,0,0,50,0,50,0.085
Home Loan,595,5,416074,excellent,rising,-50,0,0,50,0,0,0.08
Home Loan,642,13,742642,poor,rising,0,50,0,-50,0,0,0.08
Fixed Deposit,787,3,542665,excellent,stable,0,0,50,0,0,50,0.055
Fixed Deposit,527,17,517854,poor,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,777,14,743578,good,falling,0,50,50,0,-25,75,0.0575
Fixed Deposit,732,8,985454,good,falling,0,25,50,0,-25,50,0.055
Home Loan,516,17,634027,good,stable,-50,50,0,0,0,0,0.08
Home Loan,558,2,298765,good,stable,-50,0,0,0,0,0,0.08
Fixed Deposit,589,9,316651,excellent,rising,0,25,25,0,25,75,0.0575
Home Loan,698,16,227375,excellent,falling,0,50,0,50,0,100,0.09
Home Loan,525,6,152552,good,rising,-50,25,0,0,0,0,0.08
Home Loan,524,14,653347,excellent,rising,-50,50,0,50,0,50,0.085
Fixed Deposit,766,0,205739,excellent,rising,0,0,25,0,25,50,0.055
Fixed Deposit,680,10,709352,poor,falling,0,25,50,0,-25,50,0.055
Home Loan,567,16,812186,poor,rising,-50,50,0,-50,0,0,0.08
Fixed Deposit,548,4,180514,excellent,rising,0,0,25,0,25,50,0.055
Fixed Deposit,674,6,516779,excellent,stable,0,25,50,0,0,75,0.0575
Fixed Deposit,551,18,924112,good,rising,0,50,50,0,25,100,0.060000000000000005
Fixed Deposit,601,14,75530,poor,falling,0,50,0,0,-25,25,0.052500000000000005
Fixed Deposit,715,2,291348,excellent,stable,0,0,25,0,0,25,0.052500000000000005
Home Loan,687,14,65305,excellent,falling,0,50,0,50,0,100,0.09
Fixed Deposit,556,4,159097,poor,rising,0,0,25,0,25,50,0.055
Home Loan,546,11,828093,poor,rising,-50,50,0,-50,0,0,0.08
Home Loan,658,19,792627,good,falling,0,50,0,0,0,50,0.085
Fixed Deposit,673,4,529425,excellent,stable,0,0,50,0,0,50,0.055
Home Loan,741,2,542049,good,rising,0,0,0,0,0,0,0.08
Home Loan,781,8,102044,good,stable,50,25,0,0,0,75,0.0875
Home Loan,740,8,180436,excellent,falling,0,25,0,50,0,75,0.0875
Fixed Deposit,504,6,139363,excellent,rising,0,25,25,0,25,75,0.0575
Fixed Deposit,583,1,370961,excellent,falling,0,0,25,0,-25,0,0.05
Home Loan,747,15,677326,good,rising,0,50,0,0,0,50,0.085
Fixed Deposit,553,8,620954,good,falling,0,25,50,0,-25,50,0.055
Fixed Deposit,660,12,469389,poor,stable,0,50,25,0,0,75,0.0575
Fixed Deposit,725,18,855341,good,rising,0,50,50,0,25,100,0.060000000000000005
Fixed Deposit,514,19,507183,poor,stable,0,50,50,0,0,100,0.060000000000000005
Home Loan,723,16,998511,poor,falling,0,50,0,-50,0,0,0.08
Home Loan,560,5,456201,excellent,falling,-50,0,0,50,0,0,0.08
Fixed Deposit,621,3,72525,excellent,stable,0,0,0,0,0,0,0.05
Fixed Deposit,776,0,162293,good,stable,0,0,25,0,0,25,0.052500000000000005
Home Loan,545,17,151046,excellent,stable,-50,50,0,50,0,50,0.085
Home Loan,793,18,87403,poor,rising,50,50,0,-50,0,50,0.085
Fixed Deposit,561,8,218265,excellent,rising,0,25,25,0,25,75,0.0575
Home Loan,585,12,550181,excellent,stable,-50,50,0,50,0,50,0.085
Fixed Deposit,709,7,447046,good,stable,0,25,25,0,0,50,0.055
Fixed Deposit,577,12,181605,good,rising,0,50,25,0,25,100,0.060000000000000005
Home Loan,701,14,817914,good,falling,0,50,0,0,0,50,0.085
Home Loan,722,10,202018,good,stable,0,25,0,0,0,25,0.0825
Fixed Deposit,721,11,335648,excellent,stable,0,50,25,0,0,75,0.0575
Fixed Deposit,502,13,684839,excellent,rising,0,50,50,0,25,100,0.060000000000000005
Home Loan,505,3,367859,poor,stable,-50,0,0,-50,0,0,0.08
Fixed Deposit,592,0,733615,excellent,stable,0,0,50,0,0,50,0.055
Home Loan,507,3,611143,excellent,stable,-50,0,0,50,0,0,0.08
Fixed Deposit,734,18,91721,good,rising,0,50,0,0,25,75,0.0575
Home Loan,607,8,161597,excellent,stable,0,25,0,50,0,75,0.0875
Home Loan,660,9,222922,good,falling,0,25,0,0,0,25,0.0825
Home Loan,708,3,412803,good,stable,0,0,0,0,0,0,0.08
Fixed Deposit,739,19,346867,good,rising,0,50,25,0,25,100,0.060000000000000005
Fixed Deposit,549,8,741099,good,falling,0,25,50,0,-25,50,0.055
Home Loan,510,12,834717,excellent,rising,-50,50,0,50,0,50,0.085
Fixed Deposit,655,11,579827,good,rising,0,50,50,0,25,100,0.060000000000000005
Home Loan,569,10,690648,excellent,rising,-50,25,0,50,0,25,0.0825
Home Loan,668,11,413284,excellent,rising,0,50,0,50,0,100,0.09
Fixed Deposit,771,17,202383,good,stable,0,50,25,0,0,75,0.0575
Fixed Deposit,567,11,808603,excellent,rising,0,50,50,0,25,100,0.060000000000000005
Home Loan,751,15,905612,good,falling,50,50,0,0,0,100,0.09
Fixed Deposit,547,4,429129,good,stable,0,0,25,0,0,25,0.052500000000000005
Fixed Deposit,683,19,398125,poor,stable,0,50,25,0,0,75,0.0575
Home Loan,686,11,872366,good,stable,0,50,0,0,0,50,0.085
Home Loan,589,10,977015,excellent,stable,-50,25,0,50,0,25,0.0825
