credit_score,years_with_bank,deposit_amount,repayment_history,market_trend,credit_score_adjustment,years_with_bank_adjustment,deposit_amount_adjustment,repayment_history_adjustment,market_trend_adjustment,final_interest_rate_adjustment_bps,adjusted_interest_rate,product_type
448,6,66968526,poor,falling,-74,28,50,-64,-50,-110,8.25,Fixed Deposits
557,11,26186598,poor,stable,24,91,95,-55,22,177,9.27,Fixed Deposits
480,17,80875009,good,stable,-65,58,83,3,-5,74,8.24,Fixed Deposits
753,4,8384341,poor,stable,82,-19,45,-97,11,22,7.72,Home Loans
501,9,74421890,excellent,rising,2,42,70,95,41,250,10.0,Fixed Deposits
403,11,82022930,poor,rising,-61,58,93,-64,47,73,8.23,Fixed Deposits
469,7,18704259,excellent,stable,-58,30,98,61,13,144,8.94,Home Loans
769,18,55168315,excellent,rising,52,55,76,76,28,287,10.37,Home Loans
771,14,739335,good,falling,80,94,47,-1,-49,171,9.21,Home Loans
453,0,53399866,good,rising,-72,-4,85,19,26,54,8.04,Fixed Deposits
603,2,5813797,excellent,rising,18,-9,28,61,28,126,8.76,Fixed Deposits
576,17,84788794,excellent,rising,19,64,81,66,26,256,10.06,Fixed Deposits
461,17,76763583,excellent,stable,-51,58,88,99,-25,169,9.19,Home Loans
859,1,15013215,excellent,stable,93,-20,94,61,23,251,10.01,Fixed Deposits
822,4,76982392,excellent,rising,91,-3,66,80,32,266,10.16,Fixed Deposits
448,0,26765727,excellent,rising,-80,-9,63,58,42,74,8.24,Home Loans
502,9,48890399,excellent,stable,6,29,71,68,15,189,9.39,Fixed Deposits
687,19,92303545,poor,rising,2,52,66,-72,26,74,8.24,Fixed Deposits
512,9,46352435,good,rising,-5,49,78,-1,28,149,8.99,Home Loans
510,4,93963984,excellent,rising,21,-10,97,64,47,219,9.69,Fixed Deposits
747,17,54490366,poor,rising,9,51,97,-92,31,96,8.46,Home Loans
626,14,47203743,good,stable,4,52,87,-13,0,130,8.8,Home Loans
853,19,26459479,excellent,rising,96,90,75,96,35,-49,8.09,Home Loans
741,7,58301945,excellent,rising,-9,43,80,93,32,239,9.89,Home Loans
484,16,62896439,excellent,rising,-72,63,83,91,27,192,9.42,Fixed Deposits
544,11,54072715,excellent,rising,22,63,76,52,41,254,10.04,Home Loans
750,11,58607934,excellent,falling,-24,79,66,59,-47,133,8.83,Home Loans
382,0,37302141,good,rising,-68,23,72,-8,40,59,8.09,Home Loans
809,3,56231758,good,stable,53,14,83,-16,9,143,8.93,Home Loans
819,7,72708040,good,rising,98,41,67,10,44,260,10.1,Fixed Deposits
724,0,43359679,excellent,falling,13,1,70,77,-29,132,8.82,Home Loans
371,14,59037156,good,falling,-76,66,69,-23,-35,1,7.51,Fixed Deposits
387,17,27947230,good,rising,-96,88,81,-6,25,92,8.42,Fixed Deposits
579,0,1976420,poor,falling,-22,-17,36,-83,-38,-124,7.74,Fixed Deposits
714,10,41093768,excellent,rising,3,85,53,98,41,280,10.3,Fixed Deposits
787,1,48312710,poor,rising,86,-16,58,-64,36,100,8.5,Fixed Deposits
632,0,22020175,poor,rising,-18,3,60,-81,40,4,7.54,Home Loans
376,11,63533665,good,rising,-81,53,98,-16,26,80,8.3,Home Loans
575,15,25778974,good,rising,15,70,79,8,50,222,9.72,Home Loans
626,9,49005039,excellent,rising,-20,29,94,71,34,208,9.58,Home Loans
633,17,39245564,poor,rising,10,51,75,-80,27,83,8.33,Fixed Deposits
830,14,37136960,excellent,stable,81,64,81,82,18,146,8.96,Home Loans
802,16,69724679,good,rising,54,77,77,-10,45,243,9.93,Fixed Deposits
865,9,91938780,excellent,rising,89,49,100,91,49,2,7.52,Home Loans
896,2,10361700,excellent,rising,69,0,89,84,30,272,10.22,Home Loans
541,15,71618645,good,rising,19,58,86,10,29,202,9.52,Fixed Deposits
398,5,56552981,poor,rising,-97,4,91,-100,48,-54,7.61,Home Loans
861,2,74860401,excellent,rising,88,-17,96,61,25,253,10.03,Fixed Deposits
366,8,89107683,poor,stable,-79,25,100,-88,-3,-45,7.87,Home Loans
521,10,7986650,good,rising,7,61,49,-18,40,139,8.89,Fixed Deposits
569,12,48298784,excellent,falling,5,94,90,100,-43,246,9.96,Home Loans
507,17,67998884,excellent,rising,15,62,65,80,37,259,10.09,Home Loans
826,3,61482480,good,rising,78,-12,97,-21,49,191,9.41,Home Loans
395,7,21172859,excellent,rising,-96,34,57,93,38,126,8.76,Home Loans
722,12,42262359,excellent,falling,-16,66,52,100,-40,162,9.12,Home Loans
867,9,67505743,excellent,stable,60,41,52,85,-14,224,9.74,Home Loans
448,1,11369646,excellent,rising,-51,5,59,96,37,146,8.96,Fixed Deposits
386,7,67062514,good,rising,-64,38,61,-1,32,66,8.16,Fixed Deposits
629,5,82172045,excellent,rising,-4,23,64,94,34,211,9.61,Home Loans
698,15,56497302,excellent,rising,-2,100,96,62,27,283,10.33,Fixed Deposits
846,17,72048826,excellent,stable,70,75,76,84,12,196,9.46,Home Loans
651,16,63477653,excellent,stable,10,84,100,81,-5,270,10.2,Fixed Deposits
530,5,77004781,excellent,rising,25,10,95,57,43,230,9.8,Fixed Deposits
448,12,38956255,good,rising,-85,60,60,-4,42,73,8.23,Home Loans
465,13,56488753,good,stable,-99,65,55,-20,-8,-7,7.92,Home Loans
540,9,324519,excellent,stable,-11,37,36,98,0,160,9.1,Home Loans
602,10,26940501,excellent,falling,15,67,67,60,-31,178,9.28,Fixed Deposits
510,12,45486327,excellent,rising,23,60,74,56,49,262,10.12,Fixed Deposits
605,11,57850900,excellent,stable,0,60,83,64,5,212,9.62,Home Loans
672,8,93878386,good,rising,4,33,75,-22,42,132,8.82,Home Loans
477,3,45766858,excellent,rising,-99,-1,73,89,40,102,8.52,Home Loans
367,6,93875951,excellent,stable,-72,50,65,83,19,145,8.95,Home Loans
672,1,64445443,good,falling,-20,6,85,17,-27,61,8.11,Fixed Deposits
637,6,69908138,excellent,rising,-25,26,85,89,50,225,9.75,Home Loans
504,8,62259036,good,stable,14,27,70,-4,17,124,8.74,Fixed Deposits
839,4,12451803,good,stable,60,-12,79,4,-8,123,8.73,Fixed Deposits
735,14,85404420,excellent,rising,-3,97,98,68,40,300,10.5,Home Loans
453,17,87740508,good,falling,-75,89,69,11,-37,57,8.07,Fixed Deposits
742,3,96848810,good,stable,5,-1,91,24,-19,100,8.5,Home Loans
595,18,74030952,excellent,stable,-11,65,99,87,12,252,10.02,Home Loans
525,19,53858299,good,rising,-17,85,68,4,41,181,9.31,Fixed Deposits
388,6,4156029,poor,rising,-67,33,35,-69,47,-21,8.27,Fixed Deposits
826,7,80239577,poor,falling,88,28,63,-82,-36,61,8.11,Fixed Deposits
887,16,87187114,good,rising,66,94,85,-1,34,278,10.28,Fixed Deposits
757,12,51063465,poor,rising,84,51,65,-64,49,185,9.35,Fixed Deposits
874,10,71218987,excellent,falling,85,74,52,94,-34,271,10.21,Home Loans
855,0,96028855,good,falling,52,24,71,-3,-49,95,8.45,Home Loans
385,1,29044400,excellent,rising,-61,-4,92,61,47,135,8.85,Home Loans
369,16,49374605,excellent,rising,-90,54,54,58,41,117,8.67,Home Loans
670,4,99711609,good,stable,2,23,51,11,19,106,8.56,Fixed Deposits
861,5,34187959,good,rising,97,-5,61,-9,42,186,9.36,Home Loans
749,6,61468207,excellent,rising,2,34,94,99,43,272,10.22,Fixed Deposits
820,14,67191806,good,rising,95,72,51,9,26,253,10.03,Home Loans
492,18,19957219,excellent,stable,-82,76,86,100,3,183,9.33,Home Loans
441,15,99397541,excellent,rising,-99,79,68,96,26,170,9.2,Home Loans
703,12,41017419,excellent,stable,6,53,73,98,-8,222,9.72,Fixed Deposits
400,4,67772330,excellent,stable,-57,-20,54,90,13,80,8.3,Fixed Deposits
539,2,22736310,excellent,rising,-15,0,75,79,34,173,9.23,Home Loans
474,2,64397325,good,rising,-85,-16,77,-22,28,-18,7.66,Fixed Deposits
499,18,48024230,excellent,rising,-90,98,84,90,28,210,9.6,Fixed Deposits
663,13,47096953,excellent,rising,-23,54,68,53,48,200,9.5,Home Loans
691,15,42605502,good,rising,16,88,80,-2,45,227,9.77,Fixed Deposits
654,16,45964946,good,stable,3,86,68,-23,7,141,8.91,Fixed Deposits
403,3,82699818,excellent,rising,-96,14,92,58,26,94,8.44,Fixed Deposits
793,12,31348820,excellent,stable,77,50,93,60,-16,264,10.14,Fixed Deposits
613,7,93650343,excellent,stable,5,49,68,81,-11,192,9.42,Home Loans
402,18,23126456,good,rising,-88,83,69,17,36,117,8.67,Fixed Deposits
354,4,25754977,poor,rising,-76,22,91,-61,27,3,7.53,Home Loans
452,1,62250209,good,falling,-95,-18,66,3,-47,-91,8.33,Fixed Deposits
545,14,61183253,excellent,stable,-23,70,61,83,-17,174,9.24,Home Loans
699,1,67931950,good,falling,-4,5,84,22,-37,70,8.2,Home Loans
396,10,567118,excellent,rising,-60,96,50,83,34,203,9.53,Home Loans
618,12,84477793,excellent,falling,13,72,57,70,-41,171,9.21,Home Loans
719,9,23826527,excellent,rising,6,35,89,74,29,233,9.83,Fixed Deposits
455,2,28938195,good,rising,-71,-10,74,-5,35,23,7.73,Fixed Deposits
469,4,51834291,good,rising,-94,1,74,-6,38,13,7.63,Home Loans
407,2,70911919,good,rising,-76,-19,94,-2,30,27,7.77,Fixed Deposits
695,5,38173904,good,stable,-24,23,71,-21,17,66,8.16,Home Loans
823,12,36159561,excellent,rising,57,73,62,90,35,177,9.27,Home Loans
466,9,64559829,excellent,falling,-51,27,91,51,-48,70,8.2,Fixed Deposits
476,18,22300612,good,stable,-68,80,64,-17,19,78,8.28,Fixed Deposits
742,7,54818487,good,falling,2,39,72,17,-33,97,8.47,Home Loans
407,17,52927020,good,rising,-91,78,77,-18,42,88,8.38,Home Loans
862,2,59987372,excellent,stable,87,-22,97,81,-20,223,9.73,Home Loans
445,16,57989061,good,rising,-83,84,62,-19,37,81,8.31,Fixed Deposits
467,7,70655004,excellent,stable,-88,35,81,87,12,127,8.77,Home Loans
837,9,16009305,good,stable,70,26,60,-6,-14,136,8.86,Home Loans
586,1,2966937,excellent,rising,7,13,36,96,31,183,9.33,Fixed Deposits
621,11,88442028,poor,rising,-3,64,63,-86,38,76,8.26,Home Loans
538,5,16449682,excellent,stable,-25,-12,84,88,-17,118,8.68,Home Loans
796,1,42342964,good,stable,93,-5,96,2,9,195,9.45,Home Loans
596,2,59034368,good,rising,14,-19,92,5,39,131,8.81,Fixed Deposits
425,16,41629657,excellent,rising,-80,66,84,71,31,172,9.22,Home Loans
503,6,78839477,excellent,rising,-21,34,99,89,31,232,9.82,Fixed Deposits
784,4,52365269,good,stable,84,-8,89,23,-5,183,9.33,Home Loans
435,0,10111873,excellent,rising,-83,-12,72,100,43,120,8.7,Home Loans
634,7,72074745,excellent,stable,12,30,89,73,1,205,9.55,Fixed Deposits
569,11,16044069,poor,stable,10,78,62,-67,-24,59,8.09,Home Loans
418,13,94762491,good,stable,-54,100,55,-17,-12,72,8.22,Home Loans
396,15,32546286,excellent,falling,-72,59,78,51,-46,70,8.2,Fixed Deposits
443,9,46414051,good,rising,-75,41,91,19,25,101,8.51,Fixed Deposits
802,14,11710326,good,rising,85,81,64,-1,36,265,10.15,Fixed Deposits
553,14,14985464,poor,rising,12,100,54,-89,36,113,8.63,Home Loans
567,9,54730546,good,rising,24,44,82,-22,43,171,9.21,Fixed Deposits
823,6,76955138,poor,rising,67,41,89,-50,45,192,9.42,Home Loans
781,2,38329212,excellent,falling,78,20,51,89,-29,209,9.59,Home Loans
690,1,2439430,good,falling,5,-19,25,-13,-49,-51,7.95,Fixed Deposits
900,5,37564249,excellent,rising,91,25,74,78,48,18,7.68,Fixed Deposits
638,8,34926240,excellent,rising,-13,48,76,81,37,229,9.79,Home Loans
603,9,78027819,good,rising,24,31,97,1,36,189,9.39,Fixed Deposits
706,3,82650466,excellent,falling,4,18,74,79,-28,147,8.97,Home Loans
372,2,70412259,good,falling,-94,4,54,20,-28,-44,8.31,Home Loans
